"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
40395935,"MCDONALD'S",10314,"Hamburgers",4,14,14,175,6,3,"STATEN ISLAND","1660","RICHMOND AVENUE",7,"A","04/03/2019",3,"MCDONALDS","1660 RICHMOND AVENUE STATEN ISLAND",-74.1628744,40.607749
40395992,"MCDONALD'S",10467,"Hamburgers",2,15,15,223,6,3,"BRONX","2516","WHITE PLAINS ROAD",11,"A","06/18/2018",3,"MCDONALDS","2516 WHITE PLAINS ROAD BRONX",-73.8670374,40.864048
40396399,"MCDONALD'S",,"Hamburgers",3,14,14,187,5,3,"BRONX","5167","EAST  161 STREET",9,"A","02/27/2019",3,"MCDONALDS","5167 EAST  161 STREET BRONX",-73.9252904,40.828054
40398367,"MCDONALD'S",11354,"Hamburgers",3,15,15,240,5,3,"QUEENS","3001","STRATTON STREET",10,"A","06/19/2018",3,"MCDONALDS","3001 STRATTON STREET QUEENS",-73.8344858,40.7701168
40399778,"MCDONALD'S",10451,"Hamburgers",0,7,7,62,3,3,"BRONX","599","GRAND CONCOURSE",9,"A","03/25/2019",3,"MCDONALDS","599 GRAND CONCOURSE BRONX",-73.9269754,40.8198821
40401742,"MCDONALD'S",11413,"American",4,15,15,243,6,3,"QUEENS","221-12","SOUTH CONDUIT AVENUE",10,"A","03/15/2019",3,"MCDONALDS","221-12 SOUTH CONDUIT AVENUE QUEENS",-73.7561058,40.6652422
40401953,"MCDONALD'S",,"Hamburgers",2,17,17,189,6,3,"MANHATTAN","237987","ADAM CLAYTON POWELL BOULEVARD",12,"A","08/23/2018",3,"MCDONALDS","237987 ADAM CLAYTON POWELL BOULEVARD MANHATTAN",-73.9451978,40.8134239
40512425,"MCDONALD'S",11203,"Hamburgers",4,19,19,290,7,3,"BROOKLYN","5713","CHURCH AVENUE",8,"A","03/13/2019",3,"MCDONALDS","5713 CHURCH AVENUE BROOKLYN",-73.9231829,40.6527062
40521343,"MCDONALD'S",10310,"Hamburgers",5,18,17,279,6,2.61538461538462,"STATEN ISLAND","803","FOREST AVENUE",13,"A","01/16/2019",3,"MCDONALDS","803 FOREST AVENUE STATEN ISLAND",-74.1158752,40.6293069
40538662,"MCDONALD'S",10032,"Hamburgers",0,7,7,82,3,3,"MANHATTAN","4040","BROADWAY",11,"A","03/07/2019",3,"MCDONALDS","4040 BROADWAY MANHATTAN",-73.9389672,40.8426562
40548768,"MCDONALD'S",10033,"Hamburgers",1,10,10,91,5,3,"MANHATTAN","4259","BROADWAY",13,"A","03/08/2019",3,"MCDONALDS","4259 BROADWAY MANHATTAN",-73.936035,40.850094
40549913,"MCDONALD'S",10462,"Hamburgers",0,8,8,84,3,3,"BRONX","2170","WHITE PLAINS ROAD",11,"A","06/22/2018",3,"MCDONALDS","2170 WHITE PLAINS ROAD BRONX",-73.8673361,40.8555223
40592181,"MCDONALD'S",10461,"Hamburgers",4,16,16,188,6,3,"BRONX","1515","WILLIAMSBRIDGE ROAD",7,"A","07/10/2018",3,"MCDONALDS","1515 WILLIAMSBRIDGE ROAD BRONX",-73.8465469,40.8444763
40643227,"MCDONALD'S",11435,"Hamburgers",2,12,12,166,5,3,"QUEENS","13832","JAMAICA AVENUE",9,"A","10/11/2018",3,"MCDONALDS","13832 JAMAICA AVENUE QUEENS",-73.8142906,40.70226
40668120,"MCDONALD'S",10014,"Hamburgers",2,14,14,147,5,3,"MANHATTAN","208","VARICK STREET",10,"A","05/03/2018",3,"MCDONALDS","208 VARICK STREET MANHATTAN",-74.0050629,40.7287529
